NONE,"Dhaka, Bangladesh",Mbarara,NONE,"Wrocław, PL",NONE,United States,"Auckland, New Zealand","Edison, New Jersey",Toronto 
NONE,London,NONE,Barcelona,NONE,NONE,"La Crosse, WI","Indore, MP, India",NONE,"chennai,TN,India"
"Brasília, Brazil",NONE,NONE,NONE,Delhi,NONE,"Nairobi, Kenya",Toronto,NONE,NONE
"Birmingham, AL",NONE,NONE,NONE,NONE,NONE,Nigeria,NONE,NONE,NONE
NONE,NONE,NONE,israel,NONE,NONE,NONE,NONE,"Charlotte, NC","Chennai, Tamilnadu, India"
NONE,NONE,NONE,NONE,NONE,Hyderabad,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,India,NONE,NONE,NONE,Bangladesh,NONE
NONE,NONE,NONE,NONE,Hyderabad,NONE,NONE,NONE,NONE,NONE
New York City,NONE,NONE,"Mooresville, Indiana",NONE,NONE,NONE,"TOKYO-JAPAN, ROK-SEOUL",Izmir / Turkey,NONE
NONE,"New Delhi, India",Lavras-MG,NONE,NONE,NONE,"Edsbyn, Sweden ",NONE,NONE,"Chittagong,Bangladesh"
Auckland,Frankfurt am Main,India,NONE,NONE,NONE,NONE,NONE,NONE,Israel
NONE,NONE,"Edsbyn, Sweden ",NONE,NONE,Frankfurt am Main,India,Auckland,"Chittagong,Bangladesh",NONE
NONE,NONE,NONE,NONE,NONE,Karachi Pakistan,NONE,NONE,NONE,"Lima, Perú."
"Yardley, PA","Surabaya, Indonesia",NONE,NONE,Egypt,"Ranchi, Jharkhand",NONE,NONE,NONE,NONE
NONE,NONE,NONE,Indonesia,"Bengaluru, India",NONE,NONE,Porto Alegre/RS,NONE,São Paulo - Brasil
NONE,Istanbul/Turkey,NONE,NONE,"Waterloo, ON",NONE,NONE,NONE,NONE,NONE
